#Delta     a_sc

0.70650   990.720278411676
0.70655   996.289884456201

0.70660   1001.92444917720
0.70665   1007.62512006611

0.70670   1013.39305575870
0.70675   1019.22946375557

0.70680   1025.13556422453
0.70685   1031.11262960024

0.70690   1037.16192784893
0.70695   1043.28478627451

0.70700   1049.48255306598
0.70705   1055.75661218071

0.70710   1062.10837739164
0.70715   1068.53931544565

0.70720   1075.05090320543
0.70725   1081.64466757833

0.70730   1088.32217416813
0.70735   1095.08504727299

0.70740   1101.93491170933
0.70745   1108.87346290362

0.70750   1115.90244121111
0.70755   1123.02362634059

0.70760   1130.23883946175
0.70765   1137.54996008784

0.70770   1144.95890729541
0.70775   1152.46767402928

0.70780   1160.07827071889
0.70785   1167.79279649184

0.70790   1175.61339248618
0.70795   1183.54227138391

0.70800   1191.58168082959
0.70805   1199.73395812338

0.70810   1208.00150021930
0.70815   1216.38675672344

0.70820   1224.89227055587
0.70825   1233.52065585274

0.70830   1242.27458068079
0.70835   1251.15681153772

0.70840   1260.17019870601
0.70845   1269.31764930816

0.70850   1278.60219549329
0.70855   1288.02693854581

0.70860   1297.59506832038
0.70865   1307.30989759343

0.70870   1317.17482778704
0.70875   1327.19334316745

0.70880   1337.36908859614
0.70885   1347.70577729459

0.70890   1358.20726171416
0.70895   1368.87751842734

0.70900   1379.72064594415
0.70905   1390.74087793971

0.70910   1401.94260401253
0.70915   1413.33032919673

0.70920   1424.90873625383
0.70925   1436.68264328870

0.70930   1448.65706791664
0.70935   1460.83715304107

0.70940   1473.22824971113
0.70945   1485.83590393415

0.70950   1498.66583449300
0.70955   1511.72396478758

0.70960   1525.01645260571
0.70965   1538.54965309584

0.70970   1552.33017349492
0.70975   1566.36484680843

0.70980   1580.66078690389
0.70985   1595.22536089131

0.70990   1610.06618747999
0.70995   1625.19121772037

0.71000   1640.60870394915
0.71005   1656.32719823308
0.71010   1672.35561079401
0.71015   1688.70319563060
0.71020   1705.37959037706
0.71025   1722.39480832621
0.71030   1739.75929563018
0.71035   1757.48390719919
0.71040   1775.57997174861
0.71045   1794.05928730889
0.71050   1812.93415170932
0.71055   1832.21742302270
0.71060   1851.92248997710
0.71065   1872.06335290027
0.71070   1892.65462675340
0.71075   1913.71159292255
0.71080   1935.25023851776
0.71085   1957.28726744883
0.71090   1979.84020064909
0.71095   2002.92736710193
0.71100   2026.56796285838


 0.712031  2681.83157845218
 0.3840793 42.0919855359989
 0.1       4.44535629730126
 0.01     -22.2236838436474
  0.0     -27.0952882869242
 -0.001   -27.6198768222985
 -0.002   -28.1519039307950
 -0.003   -28.6915436533691
 -0.0031  -28.7459331916416
 -0.0032  -28.8004008052194
 -0.0038  -29.1288568635409
 -0.0045  -29.5156709338298
 -0.004   -29.2389756567190
 -0.0055  -30.0751405719075
 -0.005   -29.7943846731923
 -0.006   -30.3579628220868
 -0.007   -30.9299064995212
 -0.008   -31.5104200492733
 -0.009   -32.0997136948863
 -0.01    -32.6980048515488
 -0.03470 -51.1198878201303
 -0.05    -67.8103452593568
 -0.1    -230.371945557101

 0.01  -22.2236838436474
 0.02  -17.9378373950840
 0.03  -14.1282549047628
 0.04  -10.7108617336107
 0.05  -7.62001036035144
 0.06  -4.80366800137199
 0.07  -2.22004204155201




#(New below)
 0.071  -1.97311386988804
 0.072  -1.72813737107390
 0.073  -1.48508317611049
 0.074  -1.24392300507316
 0.075  -1.00462665375744
 0.076 -0.767167860418340
 0.077 -0.531518511235845
 0.078 -0.297650988408350
 0.079 -6.553873018128797E-002
 0.0792 -1.932509838843544E-002
 0.0794  2.681952273451316E-002
 0.0795  4.986678641762410E-002
 0.0796  7.289626407327887E-002
 0.0798  0.118903694277833

 0.08      0.164843020176704
 0.09      2.37891384669456
 0.3      32.0280850360305
 0.4      44.1936746222163
 0.5      61.1699713293674
 0.6      98.8850760620353
 0.65    156.285025957071
 0.7     579.164296148569

 0.7005 597.883199523629
